snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.3367013472055489,0.5428171268507404,0.002248861584645512,0.003895142523795894,0.002544826448879978,10097,29988,scirs_3x1,100000,42|43|44
2.0,0.3205282112845138,0.518874216353208,0.002901160464185676,0.00530243543025233,0.0032829721189214034,9612,29988,scirs_3x1,100000,42|43|44
4.0,0.29631852741096437,0.480125383486728,0.0015880860210471886,0.0039019881222649238,0.001797088507825837,8886,29988,scirs_3x1,100000,42|43|44
6.0,0.26670668267306924,0.43170601573962913,0.0021940488394819073,0.0013619166237603237,0.0024827999886565277,7998,29988,scirs_3x1,100000,42|43|44
8.0,0.23179271708683472,0.37515006002400964,0.00211744802806289,0.0025069956154745335,0.0023961180104344177,6951,29988,scirs_3x1,100000,42|43|44
10.0,0.19367747098839536,0.3140589569160998,0.0034233570692814535,0.005830997197384129,0.0038738932059444366,5808,29988,scirs_3x1,100000,42|43|44
12.0,0.15502867813792184,0.2508336668000533,0.002780200659876574,0.0035246659361674896,0.003146093214786594,4649,29988,scirs_3x1,100000,42|43|44
14.0,0.11844737895158063,0.19140989729225022,0.005469362518141916,0.00741736734975963,0.006189166327403973,3552,29988,scirs_3x1,100000,42|43|44
16.0,0.08626784046952113,0.1381886087768441,0.0037662552763760133,0.004794968512209868,0.004261919055398977,2587,29988,scirs_3x1,100000,42|43|44
18.0,0.05995731625983727,0.09557156195811657,0.003351464961785311,0.004316043667430551,0.0037925396278180425,1798,29988,scirs_3x1,100000,42|43|44
20.0,0.03854875283446712,0.061691343203948236,0.002810631920195476,0.004003267626639705,0.003180529427606913,1156,29988,scirs_3x1,100000,42|43|44
22.0,0.02547685740963052,0.04128317993864212,0.0014300241191404276,0.0020041322130607882,0.0016182246278614314,764,29988,scirs_3x1,100000,42|43|44
24.0,0.016273175937041483,0.026377217553688142,0.0015772834855651958,0.002751252011782487,0.0017848642881596573,976,59976,scirs_3x1,100000,42|43|44
26.0,0.010971055088702148,0.017940509537148194,0.0008147786930019082,0.0011377032219042256,0.0009220088875598614,764,69972,scirs_3x1,100000,42|43|44
28.0,0.0071584189231248055,0.011738028544751233,0.00026746719611213295,0.00048093254307909704,0.0003026676250424794,644,89964,scirs_3x1,100000,42|43|44
30.0,0.0048402694411097775,0.007916499933306656,0.0006279520118806189,0.0010350798394955796,0.0007105945956709871,671,139944,scirs_3x1,100000,42|43|44
